query,trial,cpu_percent
patients_by_gender,0,9.275
patients_by_gender,1,44.4125
patients_by_gender,2,63.775
patients_by_gender,3,51.575
patients_by_gender,4,65.0875
patients_by_gender,5,64.25
patients_by_gender,6,58.8
patients_by_gender,7,70.65
patients_by_gender,8,57.375
patients_by_gender,9,62.7375
patients_by_gender,10,64.125
patients_by_gender,11,55.8625
patients_by_gender,12,61.575
patients_by_gender,13,57.3125
patients_by_gender,14,59.4875
patients_by_gender,15,63.7375
patients_by_gender,16,42.5875
patients_by_gender,17,54.775
patients_by_gender,18,60.8875
patients_by_gender,19,65.9875
patients_by_gender,20,66.325
patients_by_gender,21,58.6875
patients_by_gender,22,61.1625
patients_by_gender,23,59.5875
patients_by_gender,24,63.6125
patients_by_gender,25,59.25
patients_by_gender,26,63.3375
patients_by_gender,27,54.8625
patients_by_gender,28,60.2625
patients_by_gender,29,63.275
patients_by_gender,30,51.4875
patients_by_gender,31,53.35
patients_by_gender,32,68.1375
patients_by_gender,33,60.375
patients_by_gender,34,60.15
patients_by_gender,35,62.1625
patients_by_gender,36,52.75
patients_by_gender,37,67.5
patients_by_gender,38,61.525
patients_by_gender,39,67.0125
patients_by_gender,40,64.275
patients_by_gender,41,61.9
patients_by_gender,42,63.775
patients_by_gender,43,62.5375
patients_by_gender,44,67.3875
patients_by_gender,45,65.325
patients_by_gender,46,60.375
patients_by_gender,47,57.9875
patients_by_gender,48,58.775
patients_by_gender,49,67.875
patients_by_gender,50,66.3625
patients_by_gender,51,68.6125
patients_by_gender,52,63.75
patients_by_gender,53,64.8375
patients_by_gender,54,60.1625
patients_by_gender,55,64.25
patients_by_gender,56,59.375
patients_by_gender,57,70.9875
patients_by_gender,58,68.2375
patients_by_gender,59,57.325
patients_by_gender,60,71.4875
patients_by_gender,61,66.4625
patients_by_gender,62,64.475
patients_by_gender,63,65.875
patients_by_gender,64,60.3125
patients_by_gender,65,64.175
patients_by_gender,66,62.2125
patients_by_gender,67,56.25
patients_by_gender,68,62.7375
patients_by_gender,69,65.4125
patients_by_gender,70,63.3875
patients_by_gender,71,60.9
patients_by_gender,72,60.3375
patients_by_gender,73,59.5625
patients_by_gender,74,58.575
patients_by_gender,75,70.375
patients_by_gender,76,55.4
patients_by_gender,77,66.85
patients_by_gender,78,69.8125
patients_by_gender,79,70.4
patients_by_gender,80,58.675
patients_by_gender,81,68.45
patients_by_gender,82,55.35
patients_by_gender,83,58.2375
patients_by_gender,84,61.45
patients_by_gender,85,62.4375
patients_by_gender,86,59.9875
patients_by_gender,87,67.575
patients_by_gender,88,64.925
patients_by_gender,89,64.7
patients_by_gender,90,67.95
patients_by_gender,91,69.825
patients_by_gender,92,61.6875
patients_by_gender,93,57.8625
patients_by_gender,94,69.25
patients_by_gender,95,60.1875
patients_by_gender,96,49.2625
patients_by_gender,97,67.0375
patients_by_gender,98,68.0875
patients_by_gender,99,64.425
surgeries_by_type,0,42.2875
surgeries_by_type,1,65.3125
surgeries_by_type,2,58.575
surgeries_by_type,3,63.6
surgeries_by_type,4,57.275
surgeries_by_type,5,61.2375
surgeries_by_type,6,63.1
surgeries_by_type,7,62.9375
surgeries_by_type,8,57.3625
surgeries_by_type,9,50.6375
surgeries_by_type,10,62.7875
surgeries_by_type,11,54.8125
surgeries_by_type,12,60.5125
surgeries_by_type,13,65.825
surgeries_by_type,14,66.3625
surgeries_by_type,15,65.4125
surgeries_by_type,16,62.825
surgeries_by_type,17,57.7625
surgeries_by_type,18,64.8
surgeries_by_type,19,67.8875
surgeries_by_type,20,56.2125
surgeries_by_type,21,62.7375
surgeries_by_type,22,64.175
surgeries_by_type,23,64.6125
surgeries_by_type,24,60.4375
surgeries_by_type,25,62.7
surgeries_by_type,26,63.4625
surgeries_by_type,27,62.5625
surgeries_by_type,28,64.0875
surgeries_by_type,29,60.1625
surgeries_by_type,30,62.875
surgeries_by_type,31,60.325
surgeries_by_type,32,62.75
surgeries_by_type,33,64.0
surgeries_by_type,34,63.5875
surgeries_by_type,35,59.25
surgeries_by_type,36,57.7
surgeries_by_type,37,67.05
surgeries_by_type,38,54.55
surgeries_by_type,39,58.475
surgeries_by_type,40,65.0125
surgeries_by_type,41,57.1375
surgeries_by_type,42,59.1
surgeries_by_type,43,62.15
surgeries_by_type,44,65.575
surgeries_by_type,45,67.4625
surgeries_by_type,46,66.0125
surgeries_by_type,47,66.6
surgeries_by_type,48,66.8125
surgeries_by_type,49,61.1625
surgeries_by_type,50,54.0375
surgeries_by_type,51,58.4875
surgeries_by_type,52,55.1375
surgeries_by_type,53,51.2125
surgeries_by_type,54,61.0375
surgeries_by_type,55,65.5
surgeries_by_type,56,65.3
surgeries_by_type,57,55.725
surgeries_by_type,58,64.475
surgeries_by_type,59,68.075
surgeries_by_type,60,73.9125
surgeries_by_type,61,67.1
surgeries_by_type,62,62.3625
surgeries_by_type,63,60.1
surgeries_by_type,64,61.5125
surgeries_by_type,65,57.4125
surgeries_by_type,66,68.8375
surgeries_by_type,67,63.8875
surgeries_by_type,68,58.525
surgeries_by_type,69,58.35
surgeries_by_type,70,69.2
surgeries_by_type,71,61.8625
surgeries_by_type,72,62.85
surgeries_by_type,73,56.55
surgeries_by_type,74,61.6125
surgeries_by_type,75,67.4625
surgeries_by_type,76,61.375
surgeries_by_type,77,59.25
surgeries_by_type,78,65.9625
surgeries_by_type,79,64.225
surgeries_by_type,80,66.95
surgeries_by_type,81,65.075
surgeries_by_type,82,63.5125
surgeries_by_type,83,61.275
surgeries_by_type,84,72.3125
surgeries_by_type,85,61.175
surgeries_by_type,86,59.9625
surgeries_by_type,87,61.05
surgeries_by_type,88,62.6875
surgeries_by_type,89,63.1875
surgeries_by_type,90,67.1875
surgeries_by_type,91,65.25
surgeries_by_type,92,60.9875
surgeries_by_type,93,64.1375
surgeries_by_type,94,60.95
surgeries_by_type,95,61.8625
surgeries_by_type,96,61.05
surgeries_by_type,97,57.2375
surgeries_by_type,98,58.5
surgeries_by_type,99,56.1375
