query,trial,cpu_percent
patients_by_gender,0,49.3
patients_by_gender,1,44.6
patients_by_gender,2,46.2
patients_by_gender,3,40.7
patients_by_gender,4,43.3
patients_by_gender,5,42.4
patients_by_gender,6,39.4
patients_by_gender,7,40.8
patients_by_gender,8,41.6
patients_by_gender,9,38.0
patients_by_gender,10,41.2
patients_by_gender,11,41.2
patients_by_gender,12,40.3
patients_by_gender,13,41.0
patients_by_gender,14,37.8
patients_by_gender,15,39.6
patients_by_gender,16,35.6
patients_by_gender,17,35.0
patients_by_gender,18,32.6
patients_by_gender,19,34.4
patients_by_gender,20,33.7
patients_by_gender,21,33.2
patients_by_gender,22,33.7
patients_by_gender,23,33.2
patients_by_gender,24,33.6
patients_by_gender,25,34.3
patients_by_gender,26,33.2
patients_by_gender,27,34.0
patients_by_gender,28,33.1
patients_by_gender,29,33.6
patients_by_gender,30,34.1
patients_by_gender,31,34.9
patients_by_gender,32,34.9
patients_by_gender,33,34.8
patients_by_gender,34,36.2
patients_by_gender,35,35.4
patients_by_gender,36,35.0
patients_by_gender,37,35.0
patients_by_gender,38,37.4
patients_by_gender,39,33.2
patients_by_gender,40,35.7
patients_by_gender,41,34.7
patients_by_gender,42,33.7
patients_by_gender,43,34.4
patients_by_gender,44,35.0
patients_by_gender,45,34.1
patients_by_gender,46,33.9
patients_by_gender,47,34.0
patients_by_gender,48,33.8
patients_by_gender,49,34.5
patients_by_gender,50,34.0
patients_by_gender,51,34.6
patients_by_gender,52,34.7
patients_by_gender,53,31.0
patients_by_gender,54,31.2
patients_by_gender,55,29.1
patients_by_gender,56,30.7
patients_by_gender,57,29.8
patients_by_gender,58,29.6
patients_by_gender,59,29.9
patients_by_gender,60,29.1
patients_by_gender,61,29.5
patients_by_gender,62,29.6
patients_by_gender,63,29.2
patients_by_gender,64,29.8
patients_by_gender,65,29.2
patients_by_gender,66,32.1
patients_by_gender,67,15.3
patients_by_gender,68,14.0
patients_by_gender,69,12.1
patients_by_gender,70,11.8
patients_by_gender,71,13.3
patients_by_gender,72,11.9
patients_by_gender,73,12.1
patients_by_gender,74,13.3
patients_by_gender,75,11.9
patients_by_gender,76,11.8
patients_by_gender,77,13.8
patients_by_gender,78,13.2
patients_by_gender,79,11.8
patients_by_gender,80,11.9
patients_by_gender,81,19.6
patients_by_gender,82,16.9
patients_by_gender,83,14.9
patients_by_gender,84,25.4
patients_by_gender,85,17.4
patients_by_gender,86,14.6
patients_by_gender,87,13.0
patients_by_gender,88,15.2
patients_by_gender,89,17.5
patients_by_gender,90,15.8
patients_by_gender,91,15.8
patients_by_gender,92,20.9
patients_by_gender,93,18.0
patients_by_gender,94,14.7
patients_by_gender,95,14.6
patients_by_gender,96,17.6
patients_by_gender,97,15.6
patients_by_gender,98,14.1
patients_by_gender,99,14.7
surgeries_by_type,0,39.9
surgeries_by_type,1,16.4
surgeries_by_type,2,19.0
surgeries_by_type,3,17.2
surgeries_by_type,4,17.5
surgeries_by_type,5,18.7
surgeries_by_type,6,18.2
surgeries_by_type,7,17.8
surgeries_by_type,8,18.6
surgeries_by_type,9,25.2
surgeries_by_type,10,20.0
surgeries_by_type,11,17.2
surgeries_by_type,12,18.2
surgeries_by_type,13,17.5
surgeries_by_type,14,18.0
surgeries_by_type,15,18.9
surgeries_by_type,16,18.4
surgeries_by_type,17,17.4
surgeries_by_type,18,19.8
surgeries_by_type,19,18.4
surgeries_by_type,20,18.6
surgeries_by_type,21,17.1
surgeries_by_type,22,17.1
surgeries_by_type,23,17.2
surgeries_by_type,24,17.6
surgeries_by_type,25,19.8
surgeries_by_type,26,20.1
surgeries_by_type,27,16.4
surgeries_by_type,28,16.9
surgeries_by_type,29,16.5
surgeries_by_type,30,19.0
surgeries_by_type,31,19.4
surgeries_by_type,32,17.5
surgeries_by_type,33,19.7
surgeries_by_type,34,19.4
surgeries_by_type,35,18.6
surgeries_by_type,36,19.1
surgeries_by_type,37,19.0
surgeries_by_type,38,17.7
surgeries_by_type,39,17.0
surgeries_by_type,40,19.7
surgeries_by_type,41,19.0
surgeries_by_type,42,17.5
surgeries_by_type,43,19.7
surgeries_by_type,44,15.9
surgeries_by_type,45,17.2
surgeries_by_type,46,18.5
surgeries_by_type,47,16.4
surgeries_by_type,48,19.6
surgeries_by_type,49,18.0
surgeries_by_type,50,18.8
surgeries_by_type,51,18.3
surgeries_by_type,52,18.0
surgeries_by_type,53,18.5
surgeries_by_type,54,21.2
surgeries_by_type,55,17.9
surgeries_by_type,56,17.7
surgeries_by_type,57,18.4
surgeries_by_type,58,18.1
surgeries_by_type,59,18.2
surgeries_by_type,60,18.0
surgeries_by_type,61,18.3
surgeries_by_type,62,17.6
surgeries_by_type,63,20.0
surgeries_by_type,64,18.4
surgeries_by_type,65,17.7
surgeries_by_type,66,20.3
surgeries_by_type,67,17.0
surgeries_by_type,68,18.2
surgeries_by_type,69,18.8
surgeries_by_type,70,18.9
surgeries_by_type,71,16.4
surgeries_by_type,72,19.3
surgeries_by_type,73,17.7
surgeries_by_type,74,17.6
surgeries_by_type,75,18.1
surgeries_by_type,76,17.8
surgeries_by_type,77,17.5
surgeries_by_type,78,17.6
surgeries_by_type,79,18.7
surgeries_by_type,80,17.5
surgeries_by_type,81,17.3
surgeries_by_type,82,18.6
surgeries_by_type,83,18.5
surgeries_by_type,84,17.3
surgeries_by_type,85,17.0
surgeries_by_type,86,18.2
surgeries_by_type,87,19.2
surgeries_by_type,88,17.8
surgeries_by_type,89,16.5
surgeries_by_type,90,16.5
surgeries_by_type,91,18.1
surgeries_by_type,92,17.3
surgeries_by_type,93,16.2
surgeries_by_type,94,17.6
surgeries_by_type,95,18.7
surgeries_by_type,96,18.2
surgeries_by_type,97,16.9
surgeries_by_type,98,16.9
surgeries_by_type,99,18.6
