query,trial,cpu_percent
surgeries_per_dept_per_month,0,17.6875
surgeries_per_dept_per_month,1,60.1625
surgeries_per_dept_per_month,2,60.325
surgeries_per_dept_per_month,3,58.475
surgeries_per_dept_per_month,4,58.8625
surgeries_per_dept_per_month,5,46.875
surgeries_per_dept_per_month,6,62.375
surgeries_per_dept_per_month,7,57.3375
surgeries_per_dept_per_month,8,60.7375
surgeries_per_dept_per_month,9,58.4375
surgeries_per_dept_per_month,10,58.5125
surgeries_per_dept_per_month,11,59.6375
surgeries_per_dept_per_month,12,60.2625
surgeries_per_dept_per_month,13,58.675
surgeries_per_dept_per_month,14,63.4875
surgeries_per_dept_per_month,15,65.8375
surgeries_per_dept_per_month,16,57.825
surgeries_per_dept_per_month,17,61.95
surgeries_per_dept_per_month,18,53.725
surgeries_per_dept_per_month,19,58.7875
surgeries_per_dept_per_month,20,61.5
surgeries_per_dept_per_month,21,61.825
surgeries_per_dept_per_month,22,57.3375
surgeries_per_dept_per_month,23,56.7125
surgeries_per_dept_per_month,24,59.8
surgeries_per_dept_per_month,25,51.9625
surgeries_per_dept_per_month,26,54.075
surgeries_per_dept_per_month,27,51.8375
surgeries_per_dept_per_month,28,61.3125
surgeries_per_dept_per_month,29,54.75
surgeries_per_dept_per_month,30,48.95
surgeries_per_dept_per_month,31,62.3875
surgeries_per_dept_per_month,32,50.775
surgeries_per_dept_per_month,33,61.1125
surgeries_per_dept_per_month,34,60.0375
surgeries_per_dept_per_month,35,65.0375
surgeries_per_dept_per_month,36,60.6875
surgeries_per_dept_per_month,37,66.4375
surgeries_per_dept_per_month,38,58.375
surgeries_per_dept_per_month,39,55.3
surgeries_per_dept_per_month,40,62.65
surgeries_per_dept_per_month,41,63.2
surgeries_per_dept_per_month,42,57.325
surgeries_per_dept_per_month,43,51.55
surgeries_per_dept_per_month,44,57.9375
surgeries_per_dept_per_month,45,62.025
surgeries_per_dept_per_month,46,54.8875
surgeries_per_dept_per_month,47,54.2125
surgeries_per_dept_per_month,48,49.65
surgeries_per_dept_per_month,49,59.275
surgeries_per_dept_per_month,50,60.4125
surgeries_per_dept_per_month,51,64.1125
surgeries_per_dept_per_month,52,56.2625
surgeries_per_dept_per_month,53,52.3375
surgeries_per_dept_per_month,54,64.6625
surgeries_per_dept_per_month,55,56.3625
surgeries_per_dept_per_month,56,54.4125
surgeries_per_dept_per_month,57,60.2125
surgeries_per_dept_per_month,58,63.4
surgeries_per_dept_per_month,59,58.8125
surgeries_per_dept_per_month,60,56.6125
surgeries_per_dept_per_month,61,56.45
