query,trial,cpu_percent
surgeries_per_dept_per_month,0,12.8
surgeries_per_dept_per_month,1,7.4
surgeries_per_dept_per_month,2,7.5
surgeries_per_dept_per_month,3,8.0
surgeries_per_dept_per_month,4,7.1
surgeries_per_dept_per_month,5,6.6
surgeries_per_dept_per_month,6,8.0
surgeries_per_dept_per_month,7,7.6
surgeries_per_dept_per_month,8,6.2
surgeries_per_dept_per_month,9,7.7
surgeries_per_dept_per_month,10,9.1
surgeries_per_dept_per_month,11,7.5
surgeries_per_dept_per_month,12,8.1
surgeries_per_dept_per_month,13,8.1
surgeries_per_dept_per_month,14,8.1
surgeries_per_dept_per_month,15,7.7
surgeries_per_dept_per_month,16,7.0
surgeries_per_dept_per_month,17,7.7
surgeries_per_dept_per_month,18,7.0
surgeries_per_dept_per_month,19,8.2
surgeries_per_dept_per_month,20,7.8
surgeries_per_dept_per_month,21,9.1
surgeries_per_dept_per_month,22,7.5
surgeries_per_dept_per_month,23,8.0
surgeries_per_dept_per_month,24,6.8
surgeries_per_dept_per_month,25,9.3
surgeries_per_dept_per_month,26,8.7
surgeries_per_dept_per_month,27,7.3
surgeries_per_dept_per_month,28,8.2
surgeries_per_dept_per_month,29,7.2
surgeries_per_dept_per_month,30,8.5
surgeries_per_dept_per_month,31,7.9
surgeries_per_dept_per_month,32,7.7
surgeries_per_dept_per_month,33,7.3
surgeries_per_dept_per_month,34,7.7
surgeries_per_dept_per_month,35,7.1
surgeries_per_dept_per_month,36,7.3
surgeries_per_dept_per_month,37,7.1
surgeries_per_dept_per_month,38,7.6
surgeries_per_dept_per_month,39,8.3
surgeries_per_dept_per_month,40,7.1
surgeries_per_dept_per_month,41,7.2
surgeries_per_dept_per_month,42,7.6
surgeries_per_dept_per_month,43,7.6
surgeries_per_dept_per_month,44,6.8
surgeries_per_dept_per_month,45,8.3
surgeries_per_dept_per_month,46,8.8
surgeries_per_dept_per_month,47,7.9
surgeries_per_dept_per_month,48,7.0
surgeries_per_dept_per_month,49,8.0
surgeries_per_dept_per_month,50,7.5
surgeries_per_dept_per_month,51,7.0
surgeries_per_dept_per_month,52,9.8
surgeries_per_dept_per_month,53,7.1
surgeries_per_dept_per_month,54,7.0
surgeries_per_dept_per_month,55,7.2
surgeries_per_dept_per_month,56,8.3
surgeries_per_dept_per_month,57,8.2
surgeries_per_dept_per_month,58,7.2
surgeries_per_dept_per_month,59,7.4
surgeries_per_dept_per_month,60,7.7
surgeries_per_dept_per_month,61,7.8
surgeries_per_dept_per_month,62,7.8
surgeries_per_dept_per_month,63,7.0
surgeries_per_dept_per_month,64,7.4
surgeries_per_dept_per_month,65,6.4
surgeries_per_dept_per_month,66,7.7
surgeries_per_dept_per_month,67,7.3
surgeries_per_dept_per_month,68,7.4
surgeries_per_dept_per_month,69,7.7
surgeries_per_dept_per_month,70,7.7
surgeries_per_dept_per_month,71,7.1
surgeries_per_dept_per_month,72,7.6
surgeries_per_dept_per_month,73,7.2
surgeries_per_dept_per_month,74,7.8
surgeries_per_dept_per_month,75,7.2
surgeries_per_dept_per_month,76,7.5
surgeries_per_dept_per_month,77,7.5
surgeries_per_dept_per_month,78,7.4
surgeries_per_dept_per_month,79,7.6
surgeries_per_dept_per_month,80,8.1
surgeries_per_dept_per_month,81,7.4
surgeries_per_dept_per_month,82,6.9
surgeries_per_dept_per_month,83,8.0
surgeries_per_dept_per_month,84,8.0
surgeries_per_dept_per_month,85,7.5
surgeries_per_dept_per_month,86,7.5
surgeries_per_dept_per_month,87,7.4
surgeries_per_dept_per_month,88,7.4
surgeries_per_dept_per_month,89,7.1
surgeries_per_dept_per_month,90,7.5
surgeries_per_dept_per_month,91,7.0
surgeries_per_dept_per_month,92,7.4
surgeries_per_dept_per_month,93,7.9
surgeries_per_dept_per_month,94,8.1
surgeries_per_dept_per_month,95,7.4
surgeries_per_dept_per_month,96,8.8
surgeries_per_dept_per_month,97,8.2
surgeries_per_dept_per_month,98,7.1
surgeries_per_dept_per_month,99,7.2
appointments_per_doctor_per_dept,0,8.7
appointments_per_doctor_per_dept,1,7.3
appointments_per_doctor_per_dept,2,8.4
appointments_per_doctor_per_dept,3,7.0
appointments_per_doctor_per_dept,4,7.8
appointments_per_doctor_per_dept,5,6.6
appointments_per_doctor_per_dept,6,7.0
appointments_per_doctor_per_dept,7,6.8
appointments_per_doctor_per_dept,8,8.0
appointments_per_doctor_per_dept,9,7.5
appointments_per_doctor_per_dept,10,7.4
appointments_per_doctor_per_dept,11,7.6
appointments_per_doctor_per_dept,12,7.3
appointments_per_doctor_per_dept,13,7.4
appointments_per_doctor_per_dept,14,7.2
appointments_per_doctor_per_dept,15,6.7
appointments_per_doctor_per_dept,16,7.9
appointments_per_doctor_per_dept,17,6.9
appointments_per_doctor_per_dept,18,7.2
appointments_per_doctor_per_dept,19,7.7
appointments_per_doctor_per_dept,20,7.4
appointments_per_doctor_per_dept,21,7.7
appointments_per_doctor_per_dept,22,9.1
appointments_per_doctor_per_dept,23,7.3
appointments_per_doctor_per_dept,24,7.4
appointments_per_doctor_per_dept,25,7.4
appointments_per_doctor_per_dept,26,6.8
appointments_per_doctor_per_dept,27,6.5
appointments_per_doctor_per_dept,28,6.7
appointments_per_doctor_per_dept,29,8.3
appointments_per_doctor_per_dept,30,6.8
appointments_per_doctor_per_dept,31,6.8
appointments_per_doctor_per_dept,32,7.0
appointments_per_doctor_per_dept,33,6.8
appointments_per_doctor_per_dept,34,7.3
appointments_per_doctor_per_dept,35,7.0
appointments_per_doctor_per_dept,36,7.8
appointments_per_doctor_per_dept,37,6.8
appointments_per_doctor_per_dept,38,6.7
appointments_per_doctor_per_dept,39,7.7
appointments_per_doctor_per_dept,40,6.9
appointments_per_doctor_per_dept,41,7.7
appointments_per_doctor_per_dept,42,7.9
appointments_per_doctor_per_dept,43,6.9
appointments_per_doctor_per_dept,44,8.0
appointments_per_doctor_per_dept,45,7.6
appointments_per_doctor_per_dept,46,8.2
appointments_per_doctor_per_dept,47,6.5
appointments_per_doctor_per_dept,48,7.4
appointments_per_doctor_per_dept,49,7.4
appointments_per_doctor_per_dept,50,7.1
appointments_per_doctor_per_dept,51,7.3
appointments_per_doctor_per_dept,52,6.7
appointments_per_doctor_per_dept,53,6.9
appointments_per_doctor_per_dept,54,7.9
appointments_per_doctor_per_dept,55,6.8
appointments_per_doctor_per_dept,56,8.5
appointments_per_doctor_per_dept,57,7.6
appointments_per_doctor_per_dept,58,8.0
