query,trial,cpu_percent
doctors_per_dept,0,7.5625
doctors_per_dept,1,50.65
doctors_per_dept,2,59.1125
doctors_per_dept,3,59.175
doctors_per_dept,4,57.9125
doctors_per_dept,5,58.6875
doctors_per_dept,6,59.0875
doctors_per_dept,7,59.6
doctors_per_dept,8,64.925
doctors_per_dept,9,61.7875
doctors_per_dept,10,58.1
doctors_per_dept,11,54.875
doctors_per_dept,12,46.675
doctors_per_dept,13,46.575
doctors_per_dept,14,46.6
doctors_per_dept,15,46.45
doctors_per_dept,16,46.2375
doctors_per_dept,17,47.375
doctors_per_dept,18,45.8375
doctors_per_dept,19,46.125
doctors_per_dept,20,59.7125
doctors_per_dept,21,54.5125
doctors_per_dept,22,60.5375
doctors_per_dept,23,67.5375
doctors_per_dept,24,67.425
doctors_per_dept,25,54.5
doctors_per_dept,26,55.2625
doctors_per_dept,27,53.875
doctors_per_dept,28,62.4625
doctors_per_dept,29,60.95
doctors_per_dept,30,56.25
doctors_per_dept,31,56.3125
doctors_per_dept,32,51.9
doctors_per_dept,33,58.8
doctors_per_dept,34,65.0875
doctors_per_dept,35,61.8375
doctors_per_dept,36,68.0875
doctors_per_dept,37,67.35
doctors_per_dept,38,61.1375
doctors_per_dept,39,59.275
doctors_per_dept,40,57.2875
doctors_per_dept,41,57.9875
doctors_per_dept,42,57.2
doctors_per_dept,43,60.5625
doctors_per_dept,44,57.8
doctors_per_dept,45,61.8625
doctors_per_dept,46,63.2125
doctors_per_dept,47,56.7875
doctors_per_dept,48,54.35
doctors_per_dept,49,56.0625
doctors_per_dept,50,58.45
doctors_per_dept,51,61.3125
doctors_per_dept,52,63.825
doctors_per_dept,53,62.3625
doctors_per_dept,54,61.875
doctors_per_dept,55,65.3
doctors_per_dept,56,61.4625
doctors_per_dept,57,56.6625
doctors_per_dept,58,67.8375
doctors_per_dept,59,60.3875
doctors_per_dept,60,55.625
doctors_per_dept,61,59.8375
doctors_per_dept,62,50.6875
doctors_per_dept,63,54.3625
doctors_per_dept,64,50.2
doctors_per_dept,65,48.975
doctors_per_dept,66,46.575
doctors_per_dept,67,49.4125
doctors_per_dept,68,51.1375
doctors_per_dept,69,49.3875
doctors_per_dept,70,52.2375
doctors_per_dept,71,54.3375
doctors_per_dept,72,64.0125
doctors_per_dept,73,70.0375
doctors_per_dept,74,62.2
doctors_per_dept,75,56.125
doctors_per_dept,76,63.6
doctors_per_dept,77,65.3875
doctors_per_dept,78,59.8
doctors_per_dept,79,53.1375
doctors_per_dept,80,46.6625
doctors_per_dept,81,53.05
doctors_per_dept,82,49.0625
doctors_per_dept,83,49.6875
doctors_per_dept,84,47.6375
doctors_per_dept,85,51.1125
doctors_per_dept,86,55.6625
doctors_per_dept,87,55.8625
doctors_per_dept,88,58.0875
doctors_per_dept,89,56.2875
doctors_per_dept,90,56.05
doctors_per_dept,91,51.6375
doctors_per_dept,92,53.3125
doctors_per_dept,93,48.2
doctors_per_dept,94,55.925
doctors_per_dept,95,53.5125
doctors_per_dept,96,52.85
doctors_per_dept,97,53.1375
doctors_per_dept,98,51.1625
doctors_per_dept,99,51.425
appointments_per_patient,0,32.1
appointments_per_patient,1,41.825
appointments_per_patient,2,48.9125
appointments_per_patient,3,48.8375
appointments_per_patient,4,46.2625
appointments_per_patient,5,53.675
appointments_per_patient,6,52.2625
appointments_per_patient,7,48.1875
appointments_per_patient,8,48.3625
appointments_per_patient,9,48.1125
appointments_per_patient,10,49.125
appointments_per_patient,11,47.6625
appointments_per_patient,12,53.35
appointments_per_patient,13,55.225
appointments_per_patient,14,46.7375
appointments_per_patient,15,48.675
appointments_per_patient,16,50.5125
appointments_per_patient,17,48.575
appointments_per_patient,18,46.75
appointments_per_patient,19,45.275
appointments_per_patient,20,44.3875
appointments_per_patient,21,52.7625
appointments_per_patient,22,40.5375
appointments_per_patient,23,35.525
appointments_per_patient,24,33.9375
appointments_per_patient,25,36.5375
appointments_per_patient,26,34.2125
appointments_per_patient,27,32.65
appointments_per_patient,28,46.35
appointments_per_patient,29,46.2
appointments_per_patient,30,37.9375
appointments_per_patient,31,43.8375
appointments_per_patient,32,40.75
appointments_per_patient,33,59.0625
appointments_per_patient,34,60.6875
appointments_per_patient,35,53.725
appointments_per_patient,36,63.7
appointments_per_patient,37,60.3625
appointments_per_patient,38,60.7
appointments_per_patient,39,63.3375
appointments_per_patient,40,58.075
appointments_per_patient,41,52.3875
appointments_per_patient,42,55.6375
appointments_per_patient,43,52.3125
appointments_per_patient,44,57.3
appointments_per_patient,45,56.2625
appointments_per_patient,46,55.175
appointments_per_patient,47,54.575
appointments_per_patient,48,48.875
appointments_per_patient,49,36.475
appointments_per_patient,50,36.7
appointments_per_patient,51,34.85
appointments_per_patient,52,50.725
appointments_per_patient,53,55.8375
appointments_per_patient,54,52.9
appointments_per_patient,55,58.725
appointments_per_patient,56,49.25
appointments_per_patient,57,56.625
appointments_per_patient,58,62.3
appointments_per_patient,59,55.65
appointments_per_patient,60,45.1375
appointments_per_patient,61,66.0625
appointments_per_patient,62,61.5875
appointments_per_patient,63,58.3625
appointments_per_patient,64,64.125
appointments_per_patient,65,67.0625
appointments_per_patient,66,67.8
appointments_per_patient,67,55.5625
appointments_per_patient,68,56.325
appointments_per_patient,69,63.475
appointments_per_patient,70,58.0375
appointments_per_patient,71,52.5125
appointments_per_patient,72,47.3
appointments_per_patient,73,64.2875
appointments_per_patient,74,59.75
appointments_per_patient,75,60.3
appointments_per_patient,76,57.7
appointments_per_patient,77,59.175
appointments_per_patient,78,64.725
appointments_per_patient,79,62.6
appointments_per_patient,80,63.6875
appointments_per_patient,81,57.675
appointments_per_patient,82,62.25
appointments_per_patient,83,62.075
appointments_per_patient,84,65.225
appointments_per_patient,85,52.825
appointments_per_patient,86,57.425
appointments_per_patient,87,59.875
appointments_per_patient,88,56.9875
appointments_per_patient,89,59.2875
appointments_per_patient,90,56.525
appointments_per_patient,91,56.875
appointments_per_patient,92,58.225
appointments_per_patient,93,63.5375
appointments_per_patient,94,50.8375
appointments_per_patient,95,58.175
appointments_per_patient,96,62.475
appointments_per_patient,97,60.15
appointments_per_patient,98,61.375
appointments_per_patient,99,53.0875
