query,trial,cpu_percent
doctors_per_dept,0,17.7
doctors_per_dept,1,17.3
doctors_per_dept,2,18.9
doctors_per_dept,3,20.0
doctors_per_dept,4,20.9
doctors_per_dept,5,21.3
doctors_per_dept,6,20.5
doctors_per_dept,7,19.3
doctors_per_dept,8,19.1
doctors_per_dept,9,18.9
doctors_per_dept,10,18.9
doctors_per_dept,11,18.9
doctors_per_dept,12,18.8
doctors_per_dept,13,18.7
doctors_per_dept,14,19.7
doctors_per_dept,15,17.1
doctors_per_dept,16,18.6
doctors_per_dept,17,18.9
doctors_per_dept,18,18.4
doctors_per_dept,19,19.0
doctors_per_dept,20,19.0
doctors_per_dept,21,18.9
doctors_per_dept,22,18.9
doctors_per_dept,23,19.8
doctors_per_dept,24,19.7
doctors_per_dept,25,19.0
doctors_per_dept,26,18.9
doctors_per_dept,27,18.8
doctors_per_dept,28,19.0
doctors_per_dept,29,18.8
doctors_per_dept,30,18.7
doctors_per_dept,31,19.6
doctors_per_dept,32,19.5
doctors_per_dept,33,23.6
doctors_per_dept,34,21.5
doctors_per_dept,35,21.0
doctors_per_dept,36,20.4
doctors_per_dept,37,16.8
doctors_per_dept,38,19.9
doctors_per_dept,39,19.4
doctors_per_dept,40,19.6
doctors_per_dept,41,19.9
doctors_per_dept,42,21.1
doctors_per_dept,43,21.5
doctors_per_dept,44,20.3
doctors_per_dept,45,19.6
doctors_per_dept,46,18.4
doctors_per_dept,47,20.5
doctors_per_dept,48,20.6
doctors_per_dept,49,22.2
doctors_per_dept,50,20.5
doctors_per_dept,51,23.4
doctors_per_dept,52,19.3
doctors_per_dept,53,21.1
doctors_per_dept,54,19.9
doctors_per_dept,55,21.8
doctors_per_dept,56,23.3
doctors_per_dept,57,20.7
doctors_per_dept,58,21.1
doctors_per_dept,59,20.3
doctors_per_dept,60,18.8
doctors_per_dept,61,21.9
doctors_per_dept,62,20.0
doctors_per_dept,63,20.5
doctors_per_dept,64,25.0
doctors_per_dept,65,22.4
doctors_per_dept,66,20.6
doctors_per_dept,67,21.8
doctors_per_dept,68,22.4
doctors_per_dept,69,19.1
doctors_per_dept,70,18.3
doctors_per_dept,71,21.3
doctors_per_dept,72,21.9
doctors_per_dept,73,23.5
doctors_per_dept,74,20.5
doctors_per_dept,75,19.6
doctors_per_dept,76,21.7
doctors_per_dept,77,20.6
doctors_per_dept,78,21.5
doctors_per_dept,79,20.1
doctors_per_dept,80,20.5
doctors_per_dept,81,21.2
doctors_per_dept,82,22.9
doctors_per_dept,83,19.1
doctors_per_dept,84,21.4
doctors_per_dept,85,19.9
doctors_per_dept,86,21.3
doctors_per_dept,87,21.7
doctors_per_dept,88,20.9
doctors_per_dept,89,22.5
doctors_per_dept,90,17.9
doctors_per_dept,91,19.8
doctors_per_dept,92,20.0
doctors_per_dept,93,21.2
doctors_per_dept,94,18.3
doctors_per_dept,95,22.6
doctors_per_dept,96,21.0
doctors_per_dept,97,22.6
doctors_per_dept,98,19.8
doctors_per_dept,99,21.6
appointments_per_patient,0,31.3
appointments_per_patient,1,27.5
appointments_per_patient,2,28.5
appointments_per_patient,3,25.6
appointments_per_patient,4,27.6
appointments_per_patient,5,26.9
appointments_per_patient,6,28.3
appointments_per_patient,7,27.3
appointments_per_patient,8,27.9
appointments_per_patient,9,26.7
appointments_per_patient,10,28.5
appointments_per_patient,11,28.3
appointments_per_patient,12,28.7
appointments_per_patient,13,28.2
appointments_per_patient,14,27.9
appointments_per_patient,15,27.3
appointments_per_patient,16,27.0
appointments_per_patient,17,26.9
appointments_per_patient,18,26.8
appointments_per_patient,19,28.4
appointments_per_patient,20,27.0
appointments_per_patient,21,25.8
appointments_per_patient,22,26.8
appointments_per_patient,23,28.1
appointments_per_patient,24,28.5
appointments_per_patient,25,28.3
appointments_per_patient,26,26.7
appointments_per_patient,27,27.2
appointments_per_patient,28,27.0
appointments_per_patient,29,27.0
appointments_per_patient,30,29.7
appointments_per_patient,31,27.3
appointments_per_patient,32,26.4
appointments_per_patient,33,26.9
appointments_per_patient,34,27.3
appointments_per_patient,35,24.5
appointments_per_patient,36,30.9
appointments_per_patient,37,26.8
appointments_per_patient,38,27.7
appointments_per_patient,39,28.2
appointments_per_patient,40,27.3
appointments_per_patient,41,26.6
appointments_per_patient,42,27.8
appointments_per_patient,43,26.5
appointments_per_patient,44,28.9
appointments_per_patient,45,27.5
appointments_per_patient,46,26.4
appointments_per_patient,47,27.9
appointments_per_patient,48,28.7
appointments_per_patient,49,28.2
appointments_per_patient,50,26.5
appointments_per_patient,51,26.3
appointments_per_patient,52,28.5
appointments_per_patient,53,29.0
appointments_per_patient,54,25.4
appointments_per_patient,55,29.0
appointments_per_patient,56,26.1
appointments_per_patient,57,26.1
appointments_per_patient,58,27.3
appointments_per_patient,59,27.5
appointments_per_patient,60,28.3
appointments_per_patient,61,26.8
appointments_per_patient,62,29.1
appointments_per_patient,63,28.4
appointments_per_patient,64,28.4
appointments_per_patient,65,26.7
appointments_per_patient,66,27.2
appointments_per_patient,67,27.2
appointments_per_patient,68,26.4
appointments_per_patient,69,27.2
appointments_per_patient,70,29.6
appointments_per_patient,71,25.0
appointments_per_patient,72,29.2
appointments_per_patient,73,27.0
appointments_per_patient,74,31.1
appointments_per_patient,75,27.7
appointments_per_patient,76,28.3
appointments_per_patient,77,26.3
appointments_per_patient,78,28.4
appointments_per_patient,79,26.4
appointments_per_patient,80,26.5
appointments_per_patient,81,27.0
appointments_per_patient,82,28.7
appointments_per_patient,83,27.2
appointments_per_patient,84,28.0
appointments_per_patient,85,26.8
appointments_per_patient,86,28.4
appointments_per_patient,87,28.2
appointments_per_patient,88,26.7
appointments_per_patient,89,27.2
appointments_per_patient,90,27.0
appointments_per_patient,91,25.7
appointments_per_patient,92,27.3
appointments_per_patient,93,27.9
appointments_per_patient,94,27.4
appointments_per_patient,95,26.8
appointments_per_patient,96,28.1
appointments_per_patient,97,26.5
appointments_per_patient,98,28.3
appointments_per_patient,99,27.7
