query,trial,cpu_percent
patients_by_gender,0,41.075
patients_by_gender,1,64.725
patients_by_gender,2,55.5625
patients_by_gender,3,56.4375
patients_by_gender,4,62.2125
patients_by_gender,5,67.6
patients_by_gender,6,69.9125
patients_by_gender,7,65.125
patients_by_gender,8,59.0375
patients_by_gender,9,60.7
patients_by_gender,10,60.275
patients_by_gender,11,64.65
patients_by_gender,12,68.075
patients_by_gender,13,65.3375
patients_by_gender,14,65.7
patients_by_gender,15,69.5625
patients_by_gender,16,62.4625
patients_by_gender,17,62.9875
patients_by_gender,18,66.5875
patients_by_gender,19,70.0875
patients_by_gender,20,70.75
patients_by_gender,21,70.1625
patients_by_gender,22,57.65
patients_by_gender,23,66.9625
patients_by_gender,24,67.1875
patients_by_gender,25,61.9125
patients_by_gender,26,59.575
patients_by_gender,27,64.5125
patients_by_gender,28,67.0625
patients_by_gender,29,65.0125
patients_by_gender,30,60.1125
patients_by_gender,31,67.7125
patients_by_gender,32,69.25
patients_by_gender,33,62.7
patients_by_gender,34,67.35
patients_by_gender,35,54.925
patients_by_gender,36,55.5625
patients_by_gender,37,57.95
patients_by_gender,38,54.5875
patients_by_gender,39,57.5625
patients_by_gender,40,53.1125
patients_by_gender,41,59.4375
patients_by_gender,42,61.3875
patients_by_gender,43,64.7375
patients_by_gender,44,69.7
patients_by_gender,45,63.1625
patients_by_gender,46,58.7
patients_by_gender,47,63.9125
patients_by_gender,48,57.8
patients_by_gender,49,59.675
patients_by_gender,50,62.55
patients_by_gender,51,63.5
patients_by_gender,52,56.3625
patients_by_gender,53,57.8
patients_by_gender,54,55.35
patients_by_gender,55,59.6
patients_by_gender,56,60.0
patients_by_gender,57,60.475
patients_by_gender,58,60.25
patients_by_gender,59,53.725
patients_by_gender,60,60.275
patients_by_gender,61,62.425
patients_by_gender,62,61.0125
patients_by_gender,63,65.2875
patients_by_gender,64,65.4875
patients_by_gender,65,54.0375
patients_by_gender,66,53.0375
patients_by_gender,67,63.4625
patients_by_gender,68,66.4
patients_by_gender,69,66.3375
patients_by_gender,70,61.7875
patients_by_gender,71,52.5
patients_by_gender,72,55.175
patients_by_gender,73,50.5375
patients_by_gender,74,38.775
patients_by_gender,75,43.8125
patients_by_gender,76,54.2625
patients_by_gender,77,52.85
patients_by_gender,78,58.925
patients_by_gender,79,57.475
patients_by_gender,80,51.675
patients_by_gender,81,42.3875
patients_by_gender,82,54.575
patients_by_gender,83,57.475
patients_by_gender,84,60.7875
patients_by_gender,85,64.85
patients_by_gender,86,60.3875
patients_by_gender,87,55.7375
patients_by_gender,88,67.75
patients_by_gender,89,54.1
patients_by_gender,90,51.975
patients_by_gender,91,51.375
patients_by_gender,92,50.7375
patients_by_gender,93,58.175
patients_by_gender,94,63.7625
patients_by_gender,95,59.9375
patients_by_gender,96,55.7125
patients_by_gender,97,55.5875
patients_by_gender,98,52.85
patients_by_gender,99,57.95
surgeries_by_type,0,57.875
surgeries_by_type,1,59.55
surgeries_by_type,2,54.4875
surgeries_by_type,3,58.0375
surgeries_by_type,4,58.5125
surgeries_by_type,5,64.4875
surgeries_by_type,6,56.75
surgeries_by_type,7,57.675
surgeries_by_type,8,60.675
surgeries_by_type,9,55.525
surgeries_by_type,10,59.5125
surgeries_by_type,11,62.0875
surgeries_by_type,12,62.2125
surgeries_by_type,13,65.875
surgeries_by_type,14,70.775
surgeries_by_type,15,60.6625
surgeries_by_type,16,63.3
surgeries_by_type,17,55.9
surgeries_by_type,18,58.4375
surgeries_by_type,19,60.75
surgeries_by_type,20,63.275
surgeries_by_type,21,67.1875
surgeries_by_type,22,63.1875
surgeries_by_type,23,54.6375
surgeries_by_type,24,62.125
surgeries_by_type,25,65.3375
surgeries_by_type,26,58.925
surgeries_by_type,27,59.75
surgeries_by_type,28,57.075
surgeries_by_type,29,52.0
surgeries_by_type,30,47.75
surgeries_by_type,31,60.675
surgeries_by_type,32,49.375
surgeries_by_type,33,58.9
surgeries_by_type,34,64.7125
surgeries_by_type,35,60.4625
surgeries_by_type,36,67.825
surgeries_by_type,37,60.625
surgeries_by_type,38,61.4875
surgeries_by_type,39,56.975
surgeries_by_type,40,62.8125
surgeries_by_type,41,57.225
surgeries_by_type,42,54.475
surgeries_by_type,43,53.025
surgeries_by_type,44,54.675
surgeries_by_type,45,59.3375
surgeries_by_type,46,59.9125
surgeries_by_type,47,68.75
surgeries_by_type,48,58.5
surgeries_by_type,49,58.2625
surgeries_by_type,50,66.8
surgeries_by_type,51,68.5875
surgeries_by_type,52,62.7875
surgeries_by_type,53,54.7875
surgeries_by_type,54,58.65
surgeries_by_type,55,62.225
surgeries_by_type,56,65.9
surgeries_by_type,57,70.3625
surgeries_by_type,58,59.7
surgeries_by_type,59,65.625
surgeries_by_type,60,64.2875
surgeries_by_type,61,57.4875
surgeries_by_type,62,59.2
surgeries_by_type,63,58.8125
surgeries_by_type,64,51.9375
surgeries_by_type,65,64.3875
surgeries_by_type,66,64.05
surgeries_by_type,67,55.5875
surgeries_by_type,68,65.0125
surgeries_by_type,69,54.775
surgeries_by_type,70,65.9125
surgeries_by_type,71,56.975
surgeries_by_type,72,69.275
surgeries_by_type,73,64.925
surgeries_by_type,74,68.875
surgeries_by_type,75,64.9125
surgeries_by_type,76,57.2875
surgeries_by_type,77,71.325
surgeries_by_type,78,66.3
surgeries_by_type,79,64.9625
surgeries_by_type,80,61.2375
surgeries_by_type,81,58.4375
surgeries_by_type,82,66.4875
surgeries_by_type,83,56.4875
surgeries_by_type,84,63.1875
surgeries_by_type,85,67.8125
surgeries_by_type,86,61.6875
surgeries_by_type,87,67.175
surgeries_by_type,88,67.5875
surgeries_by_type,89,65.425
surgeries_by_type,90,60.225
surgeries_by_type,91,60.525
surgeries_by_type,92,52.9
surgeries_by_type,93,72.1375
surgeries_by_type,94,56.9875
surgeries_by_type,95,62.5875
surgeries_by_type,96,57.1625
surgeries_by_type,97,59.125
surgeries_by_type,98,62.3875
surgeries_by_type,99,66.5
