query,trial,cpu_percent
patients_by_gender,0,45.6
patients_by_gender,1,40.9
patients_by_gender,2,47.1
patients_by_gender,3,44.1
patients_by_gender,4,42.5
patients_by_gender,5,42.7
patients_by_gender,6,42.4
patients_by_gender,7,43.4
patients_by_gender,8,42.2
patients_by_gender,9,42.3
patients_by_gender,10,48.2
patients_by_gender,11,48.0
patients_by_gender,12,44.6
patients_by_gender,13,43.3
patients_by_gender,14,42.7
patients_by_gender,15,41.5
patients_by_gender,16,42.6
patients_by_gender,17,43.1
patients_by_gender,18,42.6
patients_by_gender,19,42.6
patients_by_gender,20,36.9
patients_by_gender,21,40.8
patients_by_gender,22,43.4
patients_by_gender,23,44.6
patients_by_gender,24,42.9
patients_by_gender,25,42.8
patients_by_gender,26,42.5
patients_by_gender,27,42.4
patients_by_gender,28,42.4
patients_by_gender,29,42.4
patients_by_gender,30,42.7
patients_by_gender,31,42.8
patients_by_gender,32,41.9
patients_by_gender,33,42.3
patients_by_gender,34,42.3
patients_by_gender,35,42.3
patients_by_gender,36,42.3
patients_by_gender,37,42.3
patients_by_gender,38,42.6
patients_by_gender,39,42.3
patients_by_gender,40,42.3
patients_by_gender,41,42.2
patients_by_gender,42,36.7
patients_by_gender,43,42.9
patients_by_gender,44,42.7
patients_by_gender,45,42.4
patients_by_gender,46,42.3
patients_by_gender,47,42.4
patients_by_gender,48,42.7
patients_by_gender,49,43.0
patients_by_gender,50,42.8
patients_by_gender,51,42.3
patients_by_gender,52,40.7
patients_by_gender,53,42.9
patients_by_gender,54,42.9
patients_by_gender,55,43.3
patients_by_gender,56,43.0
patients_by_gender,57,43.2
patients_by_gender,58,42.3
patients_by_gender,59,43.1
patients_by_gender,60,43.5
patients_by_gender,61,43.5
patients_by_gender,62,43.1
patients_by_gender,63,43.8
patients_by_gender,64,39.1
patients_by_gender,65,37.6
patients_by_gender,66,35.2
patients_by_gender,67,35.1
patients_by_gender,68,35.2
patients_by_gender,69,34.7
patients_by_gender,70,35.0
patients_by_gender,71,34.8
patients_by_gender,72,34.8
patients_by_gender,73,35.0
patients_by_gender,74,36.8
patients_by_gender,75,35.9
patients_by_gender,76,35.5
patients_by_gender,77,35.8
patients_by_gender,78,34.6
patients_by_gender,79,35.9
patients_by_gender,80,34.8
patients_by_gender,81,37.3
patients_by_gender,82,41.7
patients_by_gender,83,42.0
patients_by_gender,84,41.7
patients_by_gender,85,45.5
patients_by_gender,86,42.7
patients_by_gender,87,20.3
patients_by_gender,88,10.1
patients_by_gender,89,40.1
patients_by_gender,90,31.9
patients_by_gender,91,27.4
patients_by_gender,92,30.6
patients_by_gender,93,31.3
patients_by_gender,94,31.0
patients_by_gender,95,30.9
patients_by_gender,96,31.1
patients_by_gender,97,32.5
patients_by_gender,98,30.0
patients_by_gender,99,30.3
surgeries_by_type,0,34.5
surgeries_by_type,1,35.0
surgeries_by_type,2,30.2
surgeries_by_type,3,31.6
surgeries_by_type,4,33.2
surgeries_by_type,5,32.0
surgeries_by_type,6,11.1
surgeries_by_type,7,113.9
surgeries_by_type,8,33.5
surgeries_by_type,9,33.1
surgeries_by_type,10,33.1
surgeries_by_type,11,33.3
surgeries_by_type,12,32.1
surgeries_by_type,13,32.7
surgeries_by_type,14,30.9
surgeries_by_type,15,32.0
surgeries_by_type,16,30.6
surgeries_by_type,17,38.3
surgeries_by_type,18,33.0
surgeries_by_type,19,33.0
surgeries_by_type,20,32.2
surgeries_by_type,21,31.8
surgeries_by_type,22,31.9
surgeries_by_type,23,31.7
surgeries_by_type,24,31.7
surgeries_by_type,25,31.7
surgeries_by_type,26,31.3
surgeries_by_type,27,32.1
surgeries_by_type,28,27.3
surgeries_by_type,29,23.3
surgeries_by_type,30,20.4
surgeries_by_type,31,17.3
surgeries_by_type,32,17.1
surgeries_by_type,33,16.3
surgeries_by_type,34,16.3
surgeries_by_type,35,16.0
surgeries_by_type,36,15.9
surgeries_by_type,37,15.7
surgeries_by_type,38,16.9
surgeries_by_type,39,22.8
surgeries_by_type,40,22.4
surgeries_by_type,41,17.0
surgeries_by_type,42,16.7
surgeries_by_type,43,19.7
surgeries_by_type,44,16.5
surgeries_by_type,45,16.4
