Single Table Polars Aggregation;;;;;Polars;SQL;;;;patients_by_gender;surgeries_by_type
;Average;Standard Deviation;;patients_by_gender;8,62E-04;2,30E-04;;;Polars;8,62E-04;9,30E-04
patients_by_gender;8,62E-04;1,28E-04;;surgeries_by_type;9,30E-04;2,13E-04;;;SQL;2,30E-04;2,13E-04
surgeries_by_type;9,30E-04;1,15E-04;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Single Table SQL Aggregation;;;;;;;;;;;
;Average;Standard Deviation;;;;;;;;;
patients_by_gender;2,30E-04;3,04E-05;;;;;;;;;
surgeries_by_type;2,13E-04;1,48E-05;;;;;;;;;
