query;trial;elapsed_s;;;;;;
patients_by_gender;0;0,014867067;;;;;;
patients_by_gender;1;0,001047611;;;;;;
patients_by_gender;2;0,001071692;;;;;;
patients_by_gender;3;0,000977993;;;;;;
patients_by_gender;4;0,001043081;;;;Plotting table;Average;Standard Deviation
patients_by_gender;5;0,000972986;;;;patients_by_gender;8,62E-04;1,28E-04
patients_by_gender;6;0,001315117;;;;surgeries_by_type;9,30E-04;1,15E-04
patients_by_gender;7;0,001204967;;;;;;
patients_by_gender;8;0,001070023;;;;;;
patients_by_gender;9;0,001183033;;;;;;
patients_by_gender;10;0,000977278;;;;;;
patients_by_gender;11;0,00101614;;;;;;
patients_by_gender;12;0,000823736;;;;;;
patients_by_gender;13;0,000882149;;;;;;
patients_by_gender;14;0,00078702;;;;;;
patients_by_gender;15;0,00082016;;;;;;
patients_by_gender;16;0,00072813;;;;;;
patients_by_gender;17;0,000859976;;;;;;
patients_by_gender;18;0,00090003;;;;;;
patients_by_gender;19;0,001106262;;;;;;
patients_by_gender;20;0,00087595;;;;;;
patients_by_gender;21;0,000917912;;;;;;
patients_by_gender;22;0,000920057;;;;;;
patients_by_gender;23;0,000786781;;;;;;
patients_by_gender;24;0,000788927;;;;;;
patients_by_gender;25;0,000794888;;;;;;
patients_by_gender;26;0,000731707;;;;;;
patients_by_gender;27;0,000833988;;;;;;
patients_by_gender;28;0,000754356;;;;;;
patients_by_gender;29;0,000773907;;;;;;
patients_by_gender;30;0,000797987;;;;;;
patients_by_gender;31;0,000736952;;;;;;
patients_by_gender;32;0,00081706;;;;;;
patients_by_gender;33;0,000709057;;;;;;
patients_by_gender;34;0,000901937;;;;;;
patients_by_gender;35;0,000725031;;;;;;
patients_by_gender;36;0,000769138;;;;;;
patients_by_gender;37;0,000861883;;;;;;
patients_by_gender;38;0,000895977;;;;;;
patients_by_gender;39;0,000854015;;;;;;
patients_by_gender;40;0,000711918;;;;;;
patients_by_gender;41;0,000803232;;;;;;
patients_by_gender;42;0,000932932;;;;;;
patients_by_gender;43;0,000929117;;;;;;
patients_by_gender;44;0,00077486;;;;;;
patients_by_gender;45;0,000790119;;;;;;
patients_by_gender;46;0,000774145;;;;;;
patients_by_gender;47;0,000784159;;;;;;
patients_by_gender;48;0,000814915;;;;;;
patients_by_gender;49;0,000807047;;;;;;
patients_by_gender;50;0,000771999;;;;;;
patients_by_gender;51;0,000880241;;;;;;
patients_by_gender;52;0,00077796;;;;;;
patients_by_gender;53;0,000916958;;;;;;
patients_by_gender;54;0,000777006;;;;;;
patients_by_gender;55;0,0008111;;;;;;
patients_by_gender;56;0,000756025;;;;;;
patients_by_gender;57;0,00131011;;;;;;
patients_by_gender;58;0,000849962;;;;;;
patients_by_gender;59;0,000735044;;;;;;
patients_by_gender;60;0,000876188;;;;;;
patients_by_gender;61;0,000783205;;;;;;
patients_by_gender;62;0,000869036;;;;;;
patients_by_gender;63;0,000938892;;;;;;
patients_by_gender;64;0,000784874;;;;;;
patients_by_gender;65;0,000890017;;;;;;
patients_by_gender;66;0,00077796;;;;;;
patients_by_gender;67;0,000825167;;;;;;
patients_by_gender;68;0,000756979;;;;;;
patients_by_gender;69;0,000902891;;;;;;
patients_by_gender;70;0,000984907;;;;;;
patients_by_gender;71;0,000858068;;;;;;
patients_by_gender;72;0,00083518;;;;;;
patients_by_gender;73;0,000782251;;;;;;
patients_by_gender;74;0,000867844;;;;;;
patients_by_gender;75;0,00087595;;;;;;
patients_by_gender;76;0,000755072;;;;;;
patients_by_gender;77;0,00079298;;;;;;
patients_by_gender;78;0,000761032;;;;;;
patients_by_gender;79;0,000735998;;;;;;
patients_by_gender;80;0,000869036;;;;;;
patients_by_gender;81;0,000845194;;;;;;
patients_by_gender;82;0,000778913;;;;;;
patients_by_gender;83;0,00073719;;;;;;
patients_by_gender;84;0,000741959;;;;;;
patients_by_gender;85;0,000710726;;;;;;
patients_by_gender;86;0,000801802;;;;;;
patients_by_gender;87;0,000735044;;;;;;
patients_by_gender;88;0,001208067;;;;;;
patients_by_gender;89;0,001078129;;;;;;
patients_by_gender;90;0,0008111;;;;;;
patients_by_gender;91;0,000945807;;;;;;
patients_by_gender;92;0,000916958;;;;;;
patients_by_gender;93;0,000946045;;;;;;
patients_by_gender;94;0,000735998;;;;;;
patients_by_gender;95;0,000876904;;;;;;
patients_by_gender;96;0,000795841;;;;;;
patients_by_gender;97;0,000788927;;;;;;
patients_by_gender;98;0,00077796;;;;;;
patients_by_gender;99;0,000839949;;;;;;
surgeries_by_type;0;0,001471043;;;;;;
surgeries_by_type;1;0,000889778;;;;;;
surgeries_by_type;2;0,000892162;;;;;;
surgeries_by_type;3;0,000859976;;;;;;
surgeries_by_type;4;0,000912905;;;;;;
surgeries_by_type;5;0,001134157;;;;;;
surgeries_by_type;6;0,000861883;;;;;;
surgeries_by_type;7;0,000975847;;;;;;
surgeries_by_type;8;0,000903845;;;;;;
surgeries_by_type;9;0,00132513;;;;;;
surgeries_by_type;10;0,001387119;;;;;;
surgeries_by_type;11;0,001276016;;;;;;
surgeries_by_type;12;0,001015186;;;;;;
surgeries_by_type;13;0,001210928;;;;;;
surgeries_by_type;14;0,000942945;;;;;;
surgeries_by_type;15;0,001019955;;;;;;
surgeries_by_type;16;0,000887156;;;;;;
surgeries_by_type;17;0,00077486;;;;;;
surgeries_by_type;18;0,000780106;;;;;;
surgeries_by_type;19;0,00080514;;;;;;
surgeries_by_type;20;0,000827789;;;;;;
surgeries_by_type;21;0,001065969;;;;;;
surgeries_by_type;22;0,000789881;;;;;;
surgeries_by_type;23;0,000926971;;;;;;
surgeries_by_type;24;0,00088501;;;;;;
surgeries_by_type;25;0,000902891;;;;;;
surgeries_by_type;26;0,000877857;;;;;;
surgeries_by_type;27;0,000889778;;;;;;
surgeries_by_type;28;0,00108099;;;;;;
surgeries_by_type;29;0,00082016;;;;;;
surgeries_by_type;30;0,000933886;;;;;;
surgeries_by_type;31;0,000833035;;;;;;
surgeries_by_type;32;0,000828028;;;;;;
surgeries_by_type;33;0,000809908;;;;;;
surgeries_by_type;34;0,001024008;;;;;;
surgeries_by_type;35;0,000978947;;;;;;
surgeries_by_type;36;0,00088501;;;;;;
surgeries_by_type;37;0,000937223;;;;;;
surgeries_by_type;38;0,001080036;;;;;;
surgeries_by_type;39;0,000931025;;;;;;
surgeries_by_type;40;0,000836134;;;;;;
surgeries_by_type;41;0,000897169;;;;;;
surgeries_by_type;42;0,000889778;;;;;;
surgeries_by_type;43;0,001024008;;;;;;
surgeries_by_type;44;0,00104022;;;;;;
surgeries_by_type;45;0,000836134;;;;;;
surgeries_by_type;46;0,001194954;;;;;;
surgeries_by_type;47;0,000952244;;;;;;
surgeries_by_type;48;0,001011848;;;;;;
surgeries_by_type;49;0,001013994;;;;;;
surgeries_by_type;50;0,000912189;;;;;;
surgeries_by_type;51;0,000840902;;;;;;
surgeries_by_type;52;0,000953197;;;;;;
surgeries_by_type;53;0,000905037;;;;;;
surgeries_by_type;54;0,00084281;;;;;;
surgeries_by_type;55;0,001002789;;;;;;
surgeries_by_type;56;0,000983238;;;;;;
surgeries_by_type;57;0,000824213;;;;;;
surgeries_by_type;58;0,000856876;;;;;;
surgeries_by_type;59;0,00103116;;;;;;
surgeries_by_type;60;0,000874043;;;;;;
surgeries_by_type;61;0,000994205;;;;;;
surgeries_by_type;62;0,000963211;;;;;;
surgeries_by_type;63;0,000938177;;;;;;
surgeries_by_type;64;0,000848055;;;;;;
surgeries_by_type;65;0,000983;;;;;;
surgeries_by_type;66;0,000921965;;;;;;
surgeries_by_type;67;0,000891209;;;;;;
surgeries_by_type;68;0,000926971;;;;;;
surgeries_by_type;69;0,000811815;;;;;;
surgeries_by_type;70;0,00088501;;;;;;
surgeries_by_type;71;0,000839949;;;;;;
surgeries_by_type;72;0,001112938;;;;;;
surgeries_by_type;73;0,000819921;;;;;;
surgeries_by_type;74;0,000905037;;;;;;
surgeries_by_type;75;0,00080204;;;;;;
surgeries_by_type;76;0,000833988;;;;;;
surgeries_by_type;77;0,000883818;;;;;;
surgeries_by_type;78;0,001032829;;;;;;
surgeries_by_type;79;0,000866175;;;;;;
surgeries_by_type;80;0,000820875;;;;;;
surgeries_by_type;81;0,000823975;;;;;;
surgeries_by_type;82;0,000844002;;;;;;
surgeries_by_type;83;0,00090766;;;;;;
surgeries_by_type;84;0,000823021;;;;;;
surgeries_by_type;85;0,000825167;;;;;;
surgeries_by_type;86;0,000901222;;;;;;
surgeries_by_type;87;0,000787973;;;;;;
surgeries_by_type;88;0,000906944;;;;;;
surgeries_by_type;89;0,000903845;;;;;;
surgeries_by_type;90;0,000953913;;;;;;
surgeries_by_type;91;0,001101732;;;;;;
surgeries_by_type;92;0,00100708;;;;;;
surgeries_by_type;93;0,000979185;;;;;;
surgeries_by_type;94;0,000889063;;;;;;
surgeries_by_type;95;0,000882864;;;;;;
surgeries_by_type;96;0,000834227;;;;;;
surgeries_by_type;97;0,000908136;;;;;;
surgeries_by_type;98;0,00089407;;;;;;
surgeries_by_type;99;0,000965834;;;;;;
